"id","company","title","sentiment score"
"672","BP","Five years after BP oil spill, some Gulf oystermen are losing hope","-0.514"
"673","Walmart","Walmart still selling Maryland T-shirts featuring the outline of Massachusetts","0.03"
"674","GlaxoSmithKline","GlaxoSmithKline beats profit forecasts despite Advair hit, lower margins","0.35"
"675","Standard Chartered PLC","Market Report: Eight-day rally ends for FTSE 100 and Standard Chartered","0.008"
"676","Novartis","GlaxoSmithKline set to complete $20 billion Novartis asset swap next week","0.189"
"677","Tesco PLC","Tesco's Sales Pickup Isn't Enough","-0.23"
"678","Royal Bank of Scotland Group plc","RBS chairman admits surprise at size of regulatory penalties","-0.333"
"679","Persimmon","Persimmon sells 17% more houses in 2014","0.689"
"680","Holcim Lafarge","CRH's concrete bid for Holcim Lafarge assets","0.282"
"681","ITV","ITV strike: Broadcaster's revenue soars but staff walkout for a piece of the action","0.537"
"682","RBS","McEwan will be nursing RBS through more struggles yet","-0.433"
"683","ARM Holdings plc","Arm profits and sales up as shift away from mobile gains pace","0.497"
"684","Teva","Teva First-Quarter Net Rises 11% Amid Mylan Takeover Battle","0.58"
"685","Land Securities","Land Securities warns of rent rises","-0.138"
"686","Glencore","Glencore shares hit 3-month high after refinancing key credit line","0.363"
"687","Royal Bank of Scotland Group plc","RBS becomes a shadow of its former self","-0.808"
"688","Sainsbury's","Sir Ken Morrison has taken a Â£6m stake in rival Sainsbury's","0.357"
"689","Barclays","Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital","0.261"
"690","Pearson","UPDATE 1-Pearson expects to grow this year after solid end to 2014","0.446"
"691","AstraZeneca","AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal","0.583"
"692","Friends Life","Market Report: Aviva tops the market as traders approve of its choice of Friends","0.443"
"693","Admiral Group plc","Admiral and Schroders lift FTSE with profits surge","0.701"
"694","Tesco PLC","Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame","0.295"
"695","CRH","UK's FTSE hits new record highs as CRH climbs","0.432"
"696","GlaxoSmithKline","GlaxoSmithKline set to complete $20 billion Novartis asset swap next week","0.292"
"697","Shell","Shell share price: Standard Life announce position against BG acquisition","-0.134"
"698","Bank BPH","GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank","0.213"
"699","Tullow Oil","U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb","0.544"
"700","Barclays","MarketsMoneysupermarket slides 11% on Barclays Brexit warning","-0.625"
"701","BP","Can Standard Chartered PLC, BP plc & Burberry Group plc Keep Charging?","0.18"
"702","Sainsbury's","Can Christmas Save Sainsbury's plc And Tesco plc?","-0.158"
"703","HSBC","HSBC Says Unit to Book $585 Million Charge on Settlement","-0.434"
"704","Dixons Carphone","FTSE boosted by Dixons Carphone with Fed in focus","0.522"
"705","Standard Life","Standard Life impresses as fee-based products offset annuities slump","0.552"
"706","Home Retail Group","CompaniesHome Retail trims gains but is considered 'in play'","0.135"
"707","Intertek Group","Intertek Group announces strategic update outlining its plan","0.046"
"708","Valeant Pharmaceuticals International","Valeant CEO Pledges to Heed Critics After `Painful' Experience","-0.381"
"709","Hammerson","Industry NewsHammerson joint venture buys Dublin loan portfolio","0.275"
"710","Sanofi","AstraZeneca sells Caprelsa rights to Sanofi unit","0.233"
"711","BP","Greenpeace Protest of BP Forces British Museum to Close","-0.32"
"712","L&G","L&G fund arm, Nikko Asset Management sign bond fund distribution deal","0.232"
"713","SABMiller","UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales","0.429"
"714","Standard Chartered PLC","Insight - Britain's bank tax jump threatens to push HSBC, StanChart to new home","-0.147"
"3","Royal Mail","Royal Mail chairman Donald Brydon set to step down","-0.374"
"716","AstraZeneca","Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug","0.242"
"717","Prudential","Prudential shares halted in Hong Kong pending announcement","-0.293"
"718","AB InBev","CompaniesPound to boost ABF for now, but mixed impact ahead","0.364"
"719","Statoil","EU drops Shell, BP, Statoil from ethanol benchmark investigation","0.294"
"720","Acerta","AstraZeneca chases Acerta to secure next cancer drug winner","0.776"
"721","AstraZeneca","FDA panel backs safety updates for AstraZeneca, Takeda drugs","0.143"
"722","Barclays","Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today","0.395"
"723","BBCN Bancorp","BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal","0.493"
"724","BP","Payout from BP oil spill settlement tops $5 billion","-0.639"
"725","Towergate","RSA Insurance Hires Towergate's Egan as Chief Financial Officer","0.002"
"726","Apple","Berkshire Bought Apple Stake at $99.49 a Share, Filing Shows","0.46"
"727","Glencore","Sainsbury's and Glencore give FTSE a three-digit lift - London Report","0.814"
"728","BHP Billiton","BHP Billiton drags FTSE lower after slashing dividend","-0.604"
"729","Glencore","Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil","0.037"
"730","Unilever","Unilever returns to Cuba in joint venture with state","0.287"
"731","Glencore","Deals Help Shrink Glencore's Mountain of Debt","0.152"
"732","Sainsbury's","Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...","0.456"
"733","Lloyds","British taxpayers' stake in Lloyds falls below 22 percent","-0.537"
"734","Primark","Fears Primark growth is starting to falter","-0.338"
"735","CRH","U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb","0.674"
"736","Facebook","Royal Bank of Scotland becomes Facebook customer","0.25"
"737","Aberdeen Asset Management","MOVES-Ex-shadow minister McClymont joins Aberdeen Asset Management","0.022"
"738","Aviva plc","Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?","0.324"
"739","Morrisons","Morrisons and Debenhams surprise City with Christmas bounce back","0.619"
"740","Tesco PLC","FTSE ends lower on weaker miners, Tesco outperforms","0.402"
"741","JP Morgan Chase","CompaniesCoutts raids JPMorgan Chase for new CEO","-0.191"
"742","SABMiller","Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...","0.577"
"743","Tesco PLC","Tesco share price down as grocer faces SFO investigation outcome","-0.542"
"744","Sainsbury's","FTSE rallies off three-month low, boosted by StanChart, Sainsbury","0.334"
"745","Domino's Pizza Group plc","Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?","0.063"
"746","Acerta","AstraZeneca share price: Acerta deal pays off with orphan drug status","0.317"
"747","Britvic","Cost savings help Robinsons maker Britvic to first-half profit","0.373"
"748","Tesco PLC","CompaniesTesco sends supermarket shares to top of FTSE","0.583"
"749","Diageo","Diageo, Heineken Exchange Emerging-Market Brewing Assets","0.137"
"750","Shell","Protesters gather in Seattle to block access to Shell oil rig","-0.4"
"751","Aer Lingus","Passengers rise at EasyJet and Aer Lingus","0.346"
"752","Intertek Group","Intertek profit up 16.1%; expects to meet forecast","0.66"
"753","Chevron","Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...","-0.401"
"754","Tesco PLC","Tesco's boss knows which side his bread is buttered","0.183"
"755","Barclays","UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber","-0.34"
"756","GSK","GSK hopes big clinical trial can breath new life into lung drug","0.093"
"757","TUI AG","UPDATE: Peter Long To Be Chairman Of Both Royal Mail And TUI AG","0"
"758","Standard Chartered PLC","Standard Chartered CEO Peter Sands to Resign After Unrest at Bank","-0.301"
"759","Travis Perkins","Industry NewsStrong results at Travis Perkins marred by plumbing impairment","-0.088"
"760","Rio Tinto","Mongolia and Rio Tinto agree $5bn Oyu Tolgoi mine expansion","0.3"
"761","AstraZeneca","AstraZeneca to Buy ZS Pharma for $2.7 Billion","0.551"
"762","Aviva plc","Aviva plans to up pay-out ratio, says too soon to judge Brexit impact","0.107"
"763","Royal Bank of Scotland Group plc","Reluctant shareholder George Osborne loses patience with RBS","-0.285"
"764","Cuadrilla","Cuadrilla and protesters await Lancashire fracking decision","-0.114"
"765","SABMiller","Currency causes full-year headaches for SABMiller","-0.428"
"766","EasyJet","Beach holiday demand helps lift clouds for easyJet","0.456"
"767","ARM Holdings plc","ARM Holdings plc Partners With International Business Machines Corp. To Drive ...","0.273"
"768","Deutsche Boerse","NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger","-0.281"
"769","Standard Chartered","StanChart announces $5.1 billion capital-raising plan, posts Q3 loss","-0.499"
"770","BT Group","BT Group's third quarter revenues rise as restructure unveiled","0.564"
"771","SSE","SSE share price: Peterhead station to supply voltage support to National Grid","0.253"
"772","Standard Chartered PLC","Insurer Old Mutual picks Standard Bank's Hemphill as new CEO","0.025"
"773","Berkshire Hathaway Inc.","Berkshire seeks to boost its Wells Fargo stake above 10 percent","0.314"
"774","AstraZeneca","AstraZeneca's patent on asthma drug invalidated by US court","-0.656"
"775","Lloyds Banking Group PLC","Lloyds Bank Is Said to Face Potential Fine Over Handling of Insurance Complaints","-0.468"
"776","Royal Bank of Scotland Group plc","Goodwin not to face Scottish prosecution over RBS","0.114"
"777","Barclays","TOP NEWS: Barclays Profit Depressed By Foreign Exchange Provisions","-0.434"
"778","Royal Bank of Scotland Group plc","RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights","0.066"
"779","Glencore","Glencore 2014 profit in line, takes $1.1 billion charge on commodity prices","0.124"
"780","Morrisons","Morrisons share price: Group trading director departs as management cull ...","-0.158"
"781","Lloyds Banking Group PLC","Lloyds returns Â£13bn to UK taxpayer","-0.154"
"782","Weir Group","Weir leads FTSE lower after oil price profits warning","-0.59"
"783","Lloyds Banking Group PLC","Retail focus helps to shield Lloyds from banking chill","0.253"
"784","Royal Bank of Scotland Group plc","UPDATE 1-RBS raising $3.1 billion through issue of CoCo bonds","0.149"
"785","Sports Direct","Retailers Kingfisher and Sports Direct rise in Britain's share index","0.459"
"786","Rio Tinto","UPDATE 1-Rio Tinto to sell aluminium assets in $1 bln deal -paper","0.262"
"787","EasyJet","EasyJet attracts more passengers in June but still lags Ryanair","0.21"
"788","FastJet","FastJet slams EasyJet founder Stelios for going public, is ""taking legal advice"" over letter about contractual ...","0.155"
"789","Barclays","Barclays fined for anti-money-laundering failings","-0.811"
"790","Shire","CORRECTED-Shire to buy Dyax for about $5.9 bln","0.402"
"791","Statoil","BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack","-0.242"
"792","ITV","ITV shares dip after update","-0.427"
"793","Statoil","Centrica extends gas deals with Gazprom, Statoil","0.239"
"794","Glencore","Glencore shares enjoy bounce-back after Hong Kong-led surge","0.434"
"795","BP","Ruling sets lower limit on potential fine for BP","-0.261"
"796","Sports Direct","Sports Direct Shares Tumble as Founder Ashley Sells Shares","-0.596"
"797","ExxonMobil","Shell challenges Exxon dominance with 47 billion-pound bid for BG","-0.196"
"798","United Spirits","Diageo receives reports from United Spirits on financial irregularities involving ...","-0.272"
"799","Experian","Credit checker Experian reports fall in full-year profit","-0.39"
"800","Old Mutual","Insurer Old Mutual picks Standard Bank's Hemphill as new CEO","0.022"
"801","Barclays","Barclays reports 8% fall in annual profits","-0.724"
"802","Teva","Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug","0.476"
"803","Rival National Grid plc","Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?)","0.408"
"804","Chipotle","Chipotle Sales Plunge as Troubled Chain Gets Federal Subpoena","-0.789"
"805","Shell","Shell offers 50 percent premium to buy BG for $70 billion","0.193"
"806","Morrisons","Morrisons share price: Founder's son to assist CEO with turnaround","0.137"
"807","GSK","UPDATE 1-EU regulator backs approval for GSK injectable asthma drug","0.418"
"808","Sainsbury's","Sainsbury sells unit to LloydsPharmacy","0.234"
"809","Barclays","Former Barclays traders stand trial in Libor case","-0.329"
"810","Tesco PLC","Tesco share price jumps as Q3 sales top estimates","0.719"
"811","SABMiller","South Africa approves SABMiller, Coke bottling deal with conditions","0.308"
"812","Shire","CompaniesActelion shares hit record on Shire takeover talk","0.345"
"813","Aggreko","UPDATE: Aggreko Interim Profit Drops As It Undertakes Restructuring","-0.381"
"814","HSBC","HSBC, Standard Chartered Lead Asia Bank Rout as U.K. Votes 'Out'","-0.536"
"815","Standard Chartered PLC","Standard Chartered's Shares Plunge 7% After Fitch Downgrade","-0.812"
"816","Standard Chartered PLC","Standard Chartered Misses Estimates in Sands's Last Results","-0.438"
"817","HSBC","HSBC shakes up board with two new business chiefs, three departures","-0.074"
"818","Sky","Britain's FTSE slips from 2016 high as Sky falls","-0.458"
"819","BHP Billiton","BHP Billiton to lower copper production costs","0.31"
"820","Glencore","Glencore Sells Shares to Raise $2.5 Billion and Reduce Debt","0.274"
"821","Smith & Nephew","CompaniesSmith & Nephew flops 6.8% to foot of FTSE 100","-0.666"
"822","Philip Morris","Philip Morris, BAT Sue Over Law Taking Branding Off Packs","-0.152"
"823","Asahi","Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale","0.207"
"824","Berkshire Hathaway Inc.","Buffett's Company Reports 37 Percent Drop in 2Q Earnings","-0.566"
"825","BP","BP Judge Urged to Impose $11.7 Billion-Plus Spill Fine","-0.588"
"826","RBI","RBI surprises Street; Sensex pares gains after hitting mount 30k","0.89"
"827","Royal Mail","Royal Mail needs to deliver on modernisation plans, post haste","-0.046"
"828","Barclays","Barclays CEO poaches risk head from JP Morgan","0.1"
"829","Morrisons","Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...","-0.251"
"830","Clydesdale Bank","Clydesdale Bank H1 profits weighed down by PPI charge","-0.343"
"831","Sanofi","UPDATE 1-AstraZeneca sells rare cancer drug to Sanofi for up to $300 mln","0.258"
"832","Deutsche Bank","CompaniesDeutsche taps ex-StanChart executive for audit role","0"
"833","Cuadrilla","Cuadrilla chief Francis Egan: Scaremongering fracking opponents make me angry","-0.05"
"834","Shell","Investors Remain Skeptical About Shell-BG Deal","-0.266"
"835","Morrisons","Amazon to attack UK grocery market with Morrisons deal","0.333"
"836","Barclays","Glencore tells investors it is on track to reduce debt: Barclays","0.344"
"837","Barclays","UPDATE 3-Barclays fined for lax crime checks in 'deal of century'","-0.829"
"838","M&G Investments","Prudential hit by withdrawals from M&G investment arm","-0.704"
"839","Old Mutual","Old Mutual faces backlash over Â£9m chief exec payout plan","-0.379"
"840","Barclays","Barclays backs new iPhone and Android app that lets users send each other money using a bitcoin network","0.147"
"841","Ennismore Group","Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group","0.198"
"842","Lloyds Banking Group PLC","Lloyds to cut 945 jobs as part of three-year restructuring strategy","-0.532"
"843","Tesco","CommentOpening Quote: Tesco; Premier Foods jilted; FCA on IPOs","0"
"844","GlaxoSmithKline","Investor Woodford calls for outsider to head GlaxoSmithKline","0.14"
"845","Randgold Resources","Randgold Resources third quarter profit slips despite record production","-0.39"
"846","Ashtead","News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank","-0.719"
"847","HSBC","Goldman Sachs, Barclays, HSBC downplay Brexit threat","-0.14"
"848","Royal Mail","UPDATE 1-UK to start selling remaining Royal Mail shares","-0.278"
"849","Thetrainline.com","Companies Thetrainline.com announces arrival of London IPO","0.245"
"850","Hargreaves","Hargreaves weathers torrid ISA season and Brexit fears","-0.6"
"851","BP","PRESS: UK Government Would Oppose Any BP Takeover - FT","-0.077"
"852","Land Securities","Britain's FTSE gains, Land Securities up after dividend hike","0.549"
"853","AstraZeneca","AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals","0.25"
"854","Royal Dutch Shell","What It Takes for Royal Dutch Shell to Break Even","0"
"855","Petrofac","Industry NewsPetrofac secures $250m North Sea contract","0.581"
"856","Lloyds","Lloyds Will Cut 640 Jobs, Close 23 Branches as Part of 2014 Plan","0.287"
"857","Royal Mail","Royal Mail turnaround proving expensive in tough UK market","-0.057"
"858","IHG","IHG agrees $938 sale of InterContinental Hong Kong","0.285"
"859","Barclays","Barclays Said to Shrink Bonus Pool to Less Than 2 Billion Pounds","0.231"
"860","Shire","Shire Offers to Buy Baxalta for $30 Billion","0.302"
"861","Tower Development","Crown Castle buys Tower Development Corp for $461 million","0.366"
"862","Standard Chartered PLC","LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise","0.556"
"863","Shell","Norway's sovereign wealth fund says backed Shell CEO's pay","0.191"
"864","Standard Life","MarketsProperty stocks under pressure after Standard Life fund move","-0.31"
"865","AB InBev","UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach","-0.34"
"866","BP","BP's fine for 2010 oil spill capped at $13.7 billion","-0.896"
"867","Petrofac","Oilfield services firm Petrofac's debt shoots up 50 per cent","-0.72"
"868","Eli Lilly & Co","Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration","0.516"
"869","BG Group","FTSE 100 movers: BG Group leads the charge as resource stocks jump","0.642"
"870","Banco BPI","Spain's CaixaBank Expects To Close Deal For Banco BPI","0.277"
"871","Royal Mail","Royal Mail share price: Postal service issues trading update","-0.111"
"872","Barclays","Barclays Said to Cut 150 at Investment Bank as McCormick Departs","-0.492"
"873","Glencore","Glencore fight back over debt fears lifts shares","0.278"
"874","InBev","SAB's Chairman Digs In With Board Divided on InBev Offer","0.04"
"875","National Grid","Britain facing winter of blackouts as National Grid warns of tightest power ...","-0.251"
"876","SABMiller","AB InBev approaches SABMiller to explore $250bn tie-up","0.237"
"877","Barclays","Barclays launches first 100% mortgages since crisis","0.198"
"878","EasyJet","Germanwings disaster will not affect image of budget air travel - easyJet","0.096"
"879","Barclays","Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ...","-0.661"
"880","Bank of America","After Barclays and Bank of America, Citigroup has blockchain in sight","0.178"
"881","Morrisons","Early victory for new CEO as Morrisons beats forecasts","0.753"
"882","Barclays","Barclays said to be cutting 150 investment bank jobs","-0.456"
"883","Shell","Shell challenges Exxon dominance with 47 billion-pound bid for BG","0.078"
"884","British American Tobacco plc","Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?","0.099"
"885","London Stock Exchange Group","London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse","0.327"
"886","Uinilever","Unilever Finds Growth More Elusive as Sales Meet Estimates","0.413"
"887","Primark","Primark racks up a happy Christmas after strong sales","0.704"
"888","Barclays","New York says Barclays not cooperating in 'dark pool' probe","-0.599"
"889","Shire","FDA approves NPS drug, in move validating Shire takeover deal","0.332"
"890","Royal Mail","Royal Mail share price edges lower as group raises stamp price","-0.269"
"891","Sainsbury's","Sainsbury's and Glencore give FTSE a three-digit lift - London Report","0.719"
"892","Tesco PLC","Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...","-0.389"
"893","Standard Chartered PLC","Tata Steel working with StanChart for UK unit sale - source","0.218"
"894","Diageo","Diageo offloads major wine interests","-0.384"
"895","Glencore","Glencore Agrees to Sell Minority Stake in Agriculture Business","0.264"
"896","Diageo","Diageo sells wine businesses for 320m pounds","0.323"
"897","IAG","Breakingviews: IAG can pay more for Aer Lingus","0.12"
"898","BP","UPDATE 1-UK government would oppose any takeover of BP -FT","-0.085"
"899","Aggreko","Australian mining slowdown hits Aggreko","-0.439"
"900","Royal Dutch Shell","The sustainability of Royal Dutch Shell's dividend","0"
"901","Coutts","CompaniesCoutts raids JPMorgan Chase for new CEO","0"
"902","EasyJet","Easyjet traffic hit by air traffic controller strikes and terrorism","-0.324"
"903","Dixons Carphone","Dixons Carphone says cyber attack may have exposed customers' data","-0.689"
"904","AB InBev","Stars aligned' for AB InBev's megabrew merger plan","0.256"
"905","AstraZeneca","AstraZeneca's Good Deal Turns Bad","-0.51"
"906","Blinkbox","Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...","-0.357"
"907","Tesco","Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...","0.456"
"908","Primark","Primark plots expansion in US and Europe","0.326"
"909","BP","BP shares tumble after $2.2bn fourth-quarter loss","-0.927"
"910","Aviva plc","Is Trouble Brewing At Legal & General Group Plc And Aviva plc?","-0.268"
"911","Berkshire Hathaway Inc.","Berkshire Hathaway's 4Q profit declines 17 percent","-0.724"
"912","Barclays","Ex-Barclays traders sentenced to up to six years' jail in Libor case","-0.805"
"913","BP","BP slashes capital spending by 20%","-0.462"
"914","Shell","Shell's profits hit by further slide in oil prices","-0.75"
"915","The Coca-Cola Company","The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever","0.259"
"916","AB InBev","Stars aligned' for AB InBev's megabrew merger plan","0.292"
"917","Tesco PLC","Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m","0.365"
"918","Lloyds Banking Group PLC","Lloyds is cutting more than 600 jobs and shutting 21 branches","-0.29"
"919","BP","Can BP Restore Its Lost Luster?","-0.306"
"920","BHP Billiton","Britain's FTSE steadies below record high, BHP gains","0.512"
"921","HSBC","Insight - Britain's bank tax jump threatens to push HSBC, StanChart to new home","-0.214"
"922","Burberry Group plc","Can Standard Chartered PLC, BP plc & Burberry Group plc Keep Charging?","0"
"923","Sainsbury","Tesco Versus Sainsbury: Weight-Watcher vs. Bodybuilder","0.213"
"924","AstraZeneca","Stakes High for AstraZeneca Heart Drug Facing Tough Competition","-0.24"
"925","Integrated Silicon Solution","UPDATE 1-Cypress Semiconductor offers to buy Integrated Silicon Solution","0.461"
"926","Aer Lingus","Breakingviews: IAG can pay more for Aer Lingus","0.332"
"927","InterContinental Hotels Group","InterContinental Hotels denies exploring sale or merger","0"
"928","InBev","Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller","0.307"
"929","Hargreaves Lansdown","Hargreaves Lansdown says first-quarter assets hit by stock market flux","-0.392"
"930","Friends Life","Aviva Expects 1500 Jobs Cuts from Friends Life Deal","0.2"
"931","Prudential","CompaniesThiam received Â£5m pay packet for final months at Prudential","-0.071"
"932","BHP Billiton","UPDATE 1-BHP Billiton's credit ratings fragile in FY16, agencies warn","-0.338"
"933","Royal Dutch Shell","Royal Dutch Shell Posts Rise in Earnings Despite Lower Oil Prices","0.323"
"934","Shell","Shell to Go Ahead With Petrochemical Plant in Pennsylvania","0.335"
"935","AB InBev","AB InBev approaches SABMiller to explore $250bn tie-up","0.206"
"936","Britvic","Sugar tax spurs Pepsi owner Britvic to change drinks recipes by 2020","-0.047"
"937","JP Morgan Chase","Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase","-0.092"
"938","Philips","CompaniesPhilips transfers $900m of pension obligations","0.375"
"939","Barclays","Barclays in $13.75 million US settlement over mutual funds","-0.574"
"940","Standard Life","Standard Life stands tall amid pension reform","0.371"
"941","Inovio","AstraZeneca to Pay Inovio Up to $700 Million for Cancer Drug","0.33"
"942","NPS","Shire to buy NPS for $5.2 billion to boost rare disease drugs","0.296"
"943","Shell","Shell profit rises as company resist oil slump","0.558"
"944","3i","FTSE ends higher; 3i Group leads after strong earnings","0.474"
"945","EasyJet","FTSE falls to 3-month low on Greek debt concerns, easyJet skids","-0.414"
"946","Severn Trent","Companies Severn Trent expects costs hit from inflation","-0.353"
"947","Glencore","Glencore blames rivals for creating metals glut","-0.331"
"948","EasyJet","U.K. Shares Extend Rebound for Second Day as EasyJet Surges","0.283"
"949","Financial Times","PRESS: Pearson Set To Announce Sale Of Financial Times - Reuters","0.012"
"950","Tesco PLC","Tesco shares jump 6% after Christmas sales beat expectations","0.814"
"951","Aggreko","CompaniesNew Aggreko CEO to reshape business, strip costs","0.177"
"952","Verizon","Verizon and AT&T accused of hurting rivals","-0.446"
"953","Royal Bank of Scotland Group plc","Exclusive - Britain targets sale of half its RBS stake in two years: sources","-0.298"
"954","Schroders","U.S. Debt Lures Schroders as ECB Depresses Rates","0.048"
"955","Motiva","Saudi Aramco, Shell plan to break up Motiva, divide up assets","0.31"
"956","Starwood","InterContinental Hotels Denies Reports of Starwood Merger Talks","-0.078"
"957","Standard Chartered PLC","Standard Chartered faces fresh claims of Iran sanctions violations","-0.51"
"958","Baxalta","Shire in talks with Baxalta shareholders","0.149"
"959","SSE","SSE to Shut Coal-Fired Plant Amid Shift to Gas, Renewable Energy","0.056"
"960","EasyJet","Sharm el Sheikh: EasyJet axes all flights to Egypt's leading holiday resort","-0.272"
"961","Statoil","UPDATE 1-Norway's Statoil shakes up top management, replaces CFO","-0.116"
"962","Tesco PLC","Relief for Lewis as Tesco sees sales grow for first time in a year","0.42"
"963","Clydesdale Bank","Clydesdale and Yorkshire moves closer to independence","0.299"
"964","Dialog","European stocks hover near 3-week low, Dialog and BHP slump","-0.584"
"965","Tesco PLC","Dave Lewis admits long road ahead for Tesco recovery","-0.226"
"966","Tesco PLC","Tesco leads FTSE higher on Clubcard bid reports","0.453"
"967","ARM Holdings plc","Why I'd Buy ARM Holdings plc And BHP Billiton plc Today","0.209"
"968","Admiral Group plc","Admiral Group posts decline in 2014 earnings","-0.594"
"969","Mondi","Britain's FTSE bounces back, Mondi and Barratt lead","0.552"
"970","Mediobanca","UPDATE 3-Barclays sells Italian branches to Mediobanca at a loss","0.328"
"971","Morrisons","Morrisons finance chief to fill gap as CEO leaves early","-0.114"
"972","Sophos","Sophos aims to raise $100m in London IPO","0.214"
"973","ARM Holdings plc","UK chip designer ARM hits a high after iPhone 6 boost","0.601"
"974","Wolseley","Wolseley share price: Group updates on quarterly performance","0"
"975","Rio Tinto","Rio Tinto announces long-delayed expansion of Mongolia mine","0.322"
"976","Shire","Shire rises as dry eye treatment sails through trial","0.465"
"977","GlaxoSmithKline","Doubts grow over GlaxoSmithKline's $6 bln capital return plan","-0.221"
"978","Aviva plc","Aviva weighs cash handout after beating profit forecast","0.377"
"979","Arriva","Shropshire and Mid Wales trains to be hit again in new strike by Arriva drivers","-0.553"
"980","Greene King","Greene King's third quarter sales boosted by festive season","0.363"
"981","WPP","Big account wins keep ad group WPP at front of pack","0.357"
"982","Worldpay","Worldpay readies for Â£6bn London float","0.162"
"983","BPM","CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up","0.116"
"984","Centrica PLC","Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?","0.1"
"985","Dyson","Dyson Wants to Create a Hair Dryer Revolution","0.299"
"986","BG Group","Royal Dutch Shell to Buy BG Group for Nearly $70 Billion","0.37"
"987","CNPC","EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources","0.318"
"988","Dyax","CORRECTED-Shire to buy Dyax for about $5.9 bln","0.62"
"989","BP","BP set to cut hundreds of jobs at North Sea operations","-0.667"
"990","BP","BP's head of exploration Richard Herbert departs","-0.149"
"991","Nomura","UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge","-0.739"
"992","Legal & General Group Plc","BRIEF-Legal & General's retirement business books 4 billion stg H1 sales","0.252"
"993","Royal Mail","CompaniesRoyal Mail swerves new pricing regulations","-0.052"
"994","JC Penney","JC Penney Cuts Pension Plan Obligation","0.075"
"995","Domino's Pizza Group plc","Domino's Pizza worker sacked after crude slur aimed at customer on order screen","-0.275"
"996","MillerCoors","UPDATE 2-AB InBev launches SAB bid, to sell MillerCoors stake","-0.119"
"997","Morrisons","Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls","0.362"
"998","Deutsche Boerse","France raises concerns over proposed LSE-Deutsche Boerse deal","-0.271"
"999","Genel","Genel Shares Plunge After Tony Hayward's Oil Explorer Cuts Crude Reserves at Core Field","-0.734"
"1000","Deutsche Boerse","LSE-Deutsche Boerse merger would signal end to exchange mega-deals","0.086"
"1001","Sports Direct","Sports Direct boss Mike Ashley summoned to Westminster for questioning over the treatment of workers","-0.317"
"1002","Diageo","Diageo receives reports from United Spirits on financial irregularities involving ...","-0.255"
"1003","BP","Industry NewsWood Group wins multi-million dollar contract with BP","0.588"
"1004","Centrica PLC","Centrica extends gas deals with Gazprom, Statoil","0.164"
