source,cashtag,sentiment score,id,spans,spans__002,spans__003,spans__004,spans__005
"stocktwits","$AAPL","-0.370","7606330","wants lower","up waves getting smaller","","",""
"twitter","$SBUX","0.354","719893043332194304","add in","","","",""
"twitter","$FB","0.589","708681087522885632","I see a 20 percent upside in $FB shares from here","","","",""
"stocktwits","$AVGO","0.597","37922973","great growth stk & also raised dividend","clearly a great investment","","",""
"twitter","$ENDP","-0.602","719562138910482432","$ENDP being sued by FT","nobody will buy them with that hanging over their heads","","",""
"twitter","$IRDM","0.419","719939196627116032","Breaking 52 week highs timing looks great now","","","",""
"twitter","$ULTA","0.597","708353396315713538","LargeCap Growth fundholders get lift","","","",""
"twitter","$TSLA","0.436","709797021507432448","progress witnessed","truly stunning","","",""
"stocktwits","$SINA","-0.524","5409344","trying to drag $bidu with it.","","","",""
"stocktwits","$FRPT","-0.315","35357697","60% short interest or not","","","",""
"stocktwits","$PCYC","-0.351","12674557","The momo leaders are taken down one by one","","","",""
"stocktwits","$FREE","-0.385","39047349","Stochastic Overbought","","","",""
"stocktwits","$XRS","-0.339","27109636","new squeeze plays","","","",""
"stocktwits","$MGM","-0.490","16084152","Active puts","","","",""
"twitter","$INTC","0.295","708557172389519360","Mulls Sale of $1 Billion Venture Capital Portfolio","","","",""
"stocktwits","$GLD","0.119","27030874","strong buy within a month","","","",""
"twitter","$LGF","0.415","710792713709309952","Buy these 3 stocks while there's blood in the streets","","","",""
"twitter","$CSX","0.344","719682732712968192","I'm watching(and buy targets)","","","",""
"twitter","$YHOO","-0.422","719493965767172096","$YHOO have lost 50% since Nov 14","","","",""
"stocktwits","$SPY","0.416","14422418","wouldn't be surprised to see a green close","","","",""
"stocktwits","$INVN","-0.419","7867073","Failed breakouts & failed setups","Limping on crutches into next week","","",""
"twitter","$PANW","-0.501","719840533624012800","high-flyers have been falling","","","",""
"twitter","$GOOGL","-0.289","710575829563138049","decision to sell robot business exposes growing pains","","","",""
"stocktwits","$HON","0.433","5441240","stocks insiders are bullish on","","","",""
"stocktwits","$UGAZ","-0.002","29353150","Drop expected","","","",""
"stocktwits","$CRUS","0.715","16072337","Upgraded to a buy by Alpha Street Research","","","",""
"stocktwits","$SLW","0.145","6023448","Worth a chance here","","","",""
"twitter","$WM","0.660","708399906990329856","Rally Friday!","#new52weekhighs","p over 31%","",""
"stocktwits","$BLDP","0.219","21573813","expects to break even","","","",""
"twitter","$MCD","0.295","709471541038342144","all higher","","","",""
"twitter","$ADBE","0.141","710709986175950848","Adobe Receives New Rating from Top Analyst","","","",""
"stocktwits","$SPY","-0.319","8331684","alot to worry about","","","",""
"twitter","$CAT","-0.093","719533378698100736","We See More Reasons To Be Cautious","","","",""
"stocktwits","$X","0.608","37312789","huge buy in all these names","","","",""
"twitter","$MSFT","0.430","719847471036375040","$MSFT","higher than I expected","","",""
"twitter","$VZ","0.404","719571725420269568","but Verizon is still the bidder to beat","","","",""
"stocktwits","$SPY","-0.287","16095490","Could the pride of social media be gettin ready to fall?","chart rolling over?","","",""
"stocktwits","$FEYE","0.442","19129771","gold going parabolic","keep chasing those tops boys","","",""
"stocktwits","$CTB","0.543","18236977","hold through all the media BS and you will be profitable","patience is key","","",""
"twitter","$HZNP","-0.438","709834259687710720","Biggest Market Losers","","","",""
"stocktwits","$XLI","0.545","26061978","#sectorbreadth Strongest sector is Industrials","86% bullishness","","",""
"twitter","$FB","-0.536","719534374417346560","uch a bloated valuation","","","",""
"stocktwits","$NFLX","-0.391","28402613","I Love blood like a vampire.....Keep bleeding for me","","","",""
"twitter","$IBB","-0.355","719524511708770304","$FB and $IBB still weak","","","",""
"stocktwits","$FB","0.335","29684145","Bull Candle","","","",""
"stocktwits","$IEF","0.423","22780978","$IEF bullish","","","",""
"stocktwits","$TWTR","-0.264","18842089","best scenario going forward is this stock slowly falling everyday","","","",""
"twitter","$AGN","0.146","719573068864032768","plus its Irish based"," getting rid of its generic biz","","",""
"twitter","$CAR","-0.317","719652260322476032","Today's losers","","","",""
"stocktwits","$BB.CA","0.245","21294439","If that's what you want then buy some","","","",""
"twitter","$FB","-0.024","719576060988239872","Just sold 2 Apr-22 115 calls","","","",""
"stocktwits","$JDST","-0.385","39047349","Stochastic Overbought","","","",""
"stocktwits","$GOL","0.674","14719203","Long Position on","","","",""
"stocktwits","$NOK","0.432","17353673","new HOD","","","",""
"stocktwits","$PAL","0.511","12248515","LONGS","","","",""
"stocktwits","$FB","0.284","25160682","beat","up AH","","",""
"stocktwits","$GPRO","-0.527","27888646","down 25% since Tue morning.","","","",""
"twitter","$QCOM","0.484","709330287503745028","10% Dividend Increase Rewards Patient Investors","The Future Looks Bright","","",""
"stocktwits","$ROST","0.414","5706586","Go Long until exp imo","","","",""
"twitter","$FB","0.091","719948974090629120","remember when Zuck in 2010 told us he was going to fix email with it?","","","",""
"stocktwits","$WFM","0.562","32558345","Bought a little yesterda","hoping for an earnings pop.","","",""
"stocktwits","$AZPN","0.530","5719679","long term uptrend","broke 4 year resistance","looks primed for further upside","",""
"stocktwits","$QCOM","0.528","5771422","Sets Up for Breakout","","","",""
"twitter","$CALM","0.470","709948124849115136","picked up $CALM","","","",""
"twitter","$REGN","0.604","719617999511162880","advance","announce licensing agreement","","",""
"stocktwits","$NEPT","0.432","14646229","gets a patent and goes up .20 today","","","",""
"twitter","$SBUX","-0.483","719929156314599424","Don't like","Neither does Wall Street","fell the most","",""
"stocktwits","$GALE","-0.314","20108220","GALE stacks up poorly from an insider ownership","","","",""
"twitter","$SLB","0.529","719535506980265984","Nice day rally!","","","",""
"twitter","$CLDX","0.406","710594321481801728","#oversold","","","",""
"stocktwits","$KOG","0.344","5834712","Took a small position","","","",""
"stocktwits","$ISRG","-0.047","6062030","Continues to base on the weekly chart","","","",""
"twitter","$AMZN","0.396","708799838830391296","amazon just signed a deal to lease 20 Boeing 767 cargo planes","","","",""
"twitter","$ENDP","-0.317","719652260322476032","Today's losers","","","",""
"twitter","$TSLA","0.334","719551636289400832","up $5.80","","","",""
"stocktwits","$DXJ","0.316","28428726","EPS growth is around 12% so far","","","",""
"stocktwits","$ETR","0.081","5509476","may not be bad","great stocks to trade","making new highs","",""
"twitter","$NTAP","0.426","710965451677827073","Top #NetPayoutYields","","","",""
"twitter","$AMZN","0.374","708410136516104192","next major platform","","","",""
"twitter","$YHOO","0.153","719738412085813248","Dailymail content is perfect for YHOO demographics","","","",""
"stocktwits","$AAPL","-0.357","11372664","investors are nervous about outlook, as they should be.","","","",""
"stocktwits","$INO","0.322","29326889","Money flow positive","","","",""
"twitter","$EA","0.409","719907753188134912","Electronic Arts attracts more investors","","","",""
"twitter","$CJES","-0.438","709834259687710720","Biggest Market Losers","","","",""
"stocktwits","$UNG","-0.392","30013492","down 5.43 %","","","",""
"stocktwits","$FB","0.281","35726822","Multiple expansion intact as well!","","","",""
"twitter","$REGN","0.589","719927544900784128","Added $REGN at 402","","","",""
"stocktwits","$GEVO","-0.628","37808166","PLUNGING! Back to","","","",""
"stocktwits","$TSO","0.284","24007748","running","","","",""
"stocktwits","$SKF","0.501","5588045","Add to $FXP $SKF positions","","","",""
"stocktwits","$AAPL","-0.264","7971502","get ready for the 560 *flush*","","","",""
"twitter","$AAPL","-0.195","711162648813903873","It Needs A New Tablet Strategy","","","",""
"twitter","$NXPI","-0.142","719529876332617728","Taking some profits","","","",""
"stocktwits","$ONTY","0.281","6783339","Down day for all biotechs Good to load up","","","",""
"stocktwits","$INO","0.385","24993177","still loving it today","","","",""
"twitter","$ULTA","0.419","719939196627116032","Breaking 52 week highs timing looks great now","","","",""
"twitter","$TSLA","-0.562","719571979314077696","Timberrrr","","","",""
"stocktwits","$AA","0.463","6178538","The Best Stocks for 2012","","","",""
"stocktwits","$AAPL","0.271","12289874","double bottom could be in","","","",""
"stocktwits","$NTAP","0.214","23199841","3-star analyst Joe Wittine from Longbow Research reiterated a HOLD rating","","","",""
"stocktwits","$UBNT","0.071","25591365","still having some trouble at the resistance line","","","",""
"stocktwits","$LSCC","0.497","10397968","Accumulation chart continues to make new highs showing accumulation continuing to take place","","","",""
"twitter","$AAPL","0.146","710984266318938113","Apple hires former Amazon executive George Stathakopoulos as head of corporate data security","","","",""
"twitter","$AAPL","-0.245","719531283689263104","has been slipping","","","",""
"stocktwits","$USO","0.441","35243913","bullish reversal setup and breakout","","","",""
"stocktwits","$DCTH","0.366","11873404","Near HOD","","","",""
"stocktwits","$VXX","-0.299","6815309","Moody's downgrade","","","",""
"twitter","$AAPL","0.271","710822084579086336","Markets Back in Black for 2016","","","",""
"stocktwits","$FNFG","-0.084","5812515","this one is looking beat up and interesting","","","",""
"stocktwits","$AMD","-0.163","12707769","$amd is a two dollar spec play","Ur penny scalps cost u w/IRS","","",""
"stocktwits","$NDX","-0.501","39025868","SELL signal by $NDX internals","technical SELL","","",""
"stocktwits","$SPY","-0.014","6192243","starting to creep up","","","",""
"stocktwits","$TSLA","0.327","32940708","invest in elon","","","",""
"stocktwits","$NUGT","0.381","15119660","Still have my position","","","",""
"stocktwits","$ZIV","-0.059","33675026","minuscule 0.09% gain in $ZIV","Lost most of our handsome gains on Friday","","",""
"twitter","$SAVE","0.092","709745040826966016","airlines battle for Cuba routes $AAL $LUV $SAVE $JBLU","","","",""
"stocktwits","$KCG","-0.343","8961086","Receivable going to zero","","","",""
"twitter","$CSCO","-0.416","719623868495728640","Cisco also lower","","","",""
"stocktwits","$SBRCY","0.457","39047668","Bullish MA Crossovers","","","",""
"twitter","$RHT","-0.591","709499794910109696","sell $RHT","","","",""
"twitter","$SNE","0.273","719517217247735808","In Play Longs","","","",""
"stocktwits","$SLV","0.119","27030874","next 5-6 charts illustrate a bullish weekly outcome","","","",""
"stocktwits","$APP","0.193","27026251","I would buy some wtsl at these prices","","","",""
"twitter","$NFLX","0.426","719600087777812480","more positive comments from $MS","","","",""
"stocktwits","$MOS","-0.097","9398009","volume footprint looks great","","","",""
"twitter","$GILD","0.387","719630671220776960","Drugs and Biotech Getting Perky","","","",""
"twitter","$GOOG","-0.265","719635462382579712","wants to ta","CEO says taxes may make co leave","","",""
"stocktwits","$MSFT","-0.329","5806487","companies shld be worried about iCloud","","","",""
"stocktwits","$AMZN","-0.387","6234119","negative P&L on hardware","","","",""
"twitter","$TSCO","0.286","719801650957914112","eyes more disposals in bid to appease City backers","","","",""
"stocktwits","$FB","0.085","22415160","gap fill 53.53 still waiting.","","","",""
"twitter","$SDRL","0.488","709389876295110656","long","","","",""
"twitter","$FFIV","0.365","719849703106551808","Pie In The Sky","","","",""
"stocktwits","$AAPL","-0.569","37388803","afternoon selloff as usual will be brutal","get ready to lose a ton of money.","","",""
"stocktwits","$FAZ","-0.605","6037370","Short more ","markets will tank now","","",""
"stocktwits","$BBRY","0.493","34669614","Has a great cash balance","impressive growth rate","","",""
"twitter","$GOOGL","0.396","709418142645137408","calls for nice gains","Still holding","Week made in a morning","",""
"twitter","$ENDP","0.311","719560724004126720","Top holdings","","","",""
"twitter","$TSLA","-0.374","708400413049888768","getting out of his","","","",""
"stocktwits","$FB","0.235","21842067","strong 5min @above bollies","","","",""
"twitter","$AAPL","0.093","719524447514963968","near a buy point last week","","","",""
"stocktwits","$GOOG","0.340","14140852","Google Will Soon Start Selling Chromebooks At Walmart And Staples","","","",""
"stocktwits","$DPZ","0.369","5804933","broke out now of his bull flag channel and make new highs","","","",""
"twitter","$LUV","-0.086","719498704994971648","start strong finish weak","","","",""
"twitter","$NFLX","0.364","719684651086954496","Services like $NFLX and #Hulu are growing much faster than cable","","","",""
"stocktwits","$FLML","0.376","14584620","top stocks","","","",""
"twitter","$AAPL","0.622","719844737478496256","Goldman Sachs reiterates conviction buy on","","","",""
"stocktwits","$AAPL","-0.063","9610781","$AAPL max pain","","","",""
"stocktwits","$OAS","-0.420","30827588","With Oil Prices Down further, Oil Stocks Looking Less Cheap","","","",""
"stocktwits","$WRES","0.295","29590592","got some more","","","",""
"stocktwits","$LNKD","0.401","11302969","Favorite Stocks","","","",""
"stocktwits","$SFUN","0.437","17470361","BUY","","","",""
"stocktwits","$AAPL","0.477","35618881","run run $AMZN up 4.4% now","","","",""
"twitter","$TGT","-0.258","709723193125175296","consumers keep cautious stance","","","",""
"stocktwits","$TSLA","0.591","25816362","all on a longer-term, technical swing long basis.","","","",""
"twitter","$AAPL","-0.130","719945914270556160","$FB is taking the shine off $AAPL and $GOOG","","","",""
"stocktwits","$CIEN","0.345","5429838","broken out of a major horizontal resistance","","","",""
"twitter","$AKAM","0.365","719849703106551808","Pie In The Sky","","","",""
"twitter","$COST","0.334","719542474528567296","Balancing ROIC and growth to create value","","","",""
"twitter","$FB","-0.524","719521169360027648","Locked in some $FB puts for nice gain","","","",""
"stocktwits","$PAY","0.494","33815244","we close around $34 it's a good sign","Tom we can continue upwards!!","","",""
"twitter","$MS","0.085","719600087777812480","$NFLX more positive comments from $MS","","","",""
"stocktwits","$HDGE","-0.516","39047349","Stochastic Overbought","","","",""
"twitter","$ENDP","-0.268","719548872666849280","not all time low , been lower","","","",""
"twitter","$FB","0.383","710158462253142017","if one is to go long, money rotating into large cap tech","","","",""
"twitter","$GRMN","0.396","719561685200048128","looks great","bullish","","",""
"twitter","$FB","0.334","709413002697707520","starting to show some relative strength","","","",""
"stocktwits","$IWM","-0.258","37450150","Time to stomp on some dreams.","","","",""
"stocktwits","$ISR","0.330","36616915","If positive outcome w/ lung study5/8 we may see a 13D Filing by Soros","","","",""
"stocktwits","$XLF","0.152","5804574","more test of 12.85 coming up","","","",""
"stocktwits","$SPY","0.165","15249839","RSI lowest level since October 2012","","","",""
"stocktwits","$TRX","0.438","5955346","Long setup","","","",""
"twitter","$TSLA","0.520","709328066938408961","Baird Upgrades Tesla Motors $TSLA to Outperform","","","",""
"twitter","$FB","-0.258","719651138170040320","my 18 year old and 14 year old are never on $FB ","Their mom and grandmas are though","","",""
"twitter","$MU","0.454","708355634857529344","Sector Stocks Leading Today","","","",""
"stocktwits","$YOKU","0.000","7737263","$YOKU 0","","","",""
"twitter","$AAPL","-0.308","719514715010035712","may not be as secure","","","",""
"stocktwits","$ARCO","0.463","6178538","The Best Stocks for 2012","","","",""
"stocktwits","$PZZI","0.509","6309910","Long over 3.95/great find - hope that wold be another $ANLY or $PZZI, still holding second 1/2","","","",""
"stocktwits","$MOBI","0.282","21026010","today's momentum movers","","","",""
"stocktwits","$WMT","0.196","14140852","Google Will Soon Start Selling Chromebooks At Walmart And Staples","","","",""
"stocktwits","$PANW","0.448","28165236","Found some good bull setups this week","","","",""
"stocktwits","$XLF","0.394","18249994","holding up relatively well compared to the broad market","","","",""
"twitter","$COST","-0.140","708396387029934080","less than stellar day but it held the 50 day moving average","","","",""
"stocktwits","$FB","0.152","18949027","A beautifully orchestrated marke","","","",""
"stocktwits","$SPY","0.177","6161405","up 7$","","","",""
"twitter","$GILD","0.534","709199955005710336","Cures 96% of Hard-to-Treat","","","",""
"twitter","$MSFT","0.230","719535349379284992","Long","buying point","","",""
"twitter","$GOOGL","0.000","708396324710785024","","","","",""
"stocktwits","$UGAZ","0.473","32035784","let it run","","","",""
"twitter","$SPX","0.329","719478441544925184","Yahoo extends bidding deadline as interest grows","","","",""
"stocktwits","$SPY","-0.272","26919572","","","","",""
"twitter","$ZNGA","0.087","719585607215808512","Today I bought more","","","",""
"stocktwits","$AG","0.376","8032355","you will enjoy the bull run that just started","","","",""
"stocktwits","$T","-0.341","16273216","Issues Statement On Debt Ceiling","","","",""
"stocktwits","$NFLX","-0.434","23655121","there's a good short spot","","","",""
"stocktwits","$MGM","-0.365","5679790","Worst performers today"," $MGM $IO -6%","","",""
"twitter","$LYB","-0.351","708960045799759872","Insiders Are Selling","","","",""
"stocktwits","$GM","0.413","36285752","good news for domestic automakers","","","",""
"stocktwits","$FB","-0.205","7968482","can ONE of the cheerleaders show me actual valuation work","","","",""
"twitter","$ADBE","0.342","710651607663267840","up to $95 after market!","","","",""
"stocktwits","$DUST","0.511","39047253","Buying on Weakness","","","",""
"stocktwits","$THRM","0.461","20655340","Three of my hot stocks today","","","",""
"stocktwits","$BBRY","0.472","16648889","Ready for Take OFF!","","","",""
"twitter","$AAPL","0.150","710221245716021248","Report: Apple signs up for Google's cloud","","","",""
"twitter","$F","-0.464","709779449663721472","Short Setups Looking Nice....Really Nice","","","",""
"twitter","$MBLY","-0.606","719531030185553920","short $MBLY","","","",""
"stocktwits","$NLY","-0.255","5502351","will push $NLY investment to another time","","","",""
"twitter","$STX","0.513","719544293606735872","Notable gainers among liquid option names this morning","","","",""
"stocktwits","$IBM","0.425","24504842","looking to add a gold miner and possibly lower pe tech name into close","","","",""
"stocktwits","$GLD","0.176","5503795","point at a possible move up","","","",""
"stocktwits","$BBRY","-0.455","15351878","they let the stock fall big time after earnings","","","",""
"stocktwits","$MNKD","0.221","15199192","not selling before","","","",""
"twitter","$MAR","0.456","711642551418130432","tremendous opportunity awaits","","","",""
"stocktwits","$IBIO","0.507","34043220","up 10% in premarket","ready for lift off","","",""
"stocktwits","$AAPL","0.433","10513339","the overall market improve","","","",""
"stocktwits","$AEZS","0.514","11192797","gots some $AEZS this morning","","","",""
"stocktwits","$FINL","0.501","38554062","Erinn Murphy of Piper Jaffray thinks $FINL is a BUY","","","",""
"stocktwits","$CMG","0.099","6139409","longer term top building","now a quickie short","","",""
"stocktwits","$EUO","-0.331","5901252","debt crisis entered a dangerous new phase","","","",""
"twitter","$MU","-0.404","719644485056077824","$MU may go down 6% if the bear pattern is confirmed","","","",""
"stocktwits","$XLF","0.255","11433855","looking good","Note that it broke this area on lighter volume","","",""
"twitter","$TSLA","-0.118","719929217786474496","cracking","","","",""
"stocktwits","$NGL","0.457","39047668","Bullish MA Crossovers","","","",""
"stocktwits","$MS","0.305","17688269","still an interesting finance play","been in this one since the 14's- hold","","",""
"stocktwits","$ZLCS","0.309","5997088","broke the downtrend line","ready to launch through the 200 day moving average","","",""
"stocktwits","$INFN","0.431","30374823","some of the stocks that came up on screens for longs","","","",""
"stocktwits","$STNR","0.407","6069381","Defying the Downturn","","","",""
"stocktwits","$HP","0.340","27583592","soars pre-market","","","",""
"stocktwits","$AAPL","0.498","19193470","This stock is a buy","","","",""
"stocktwits","$RBCN","-0.400","8558993","PAIN","","","",""
"stocktwits","$REGN","0.384","16444001","hi beta hi performers","","","",""
"stocktwits","$KORS","-0.368","23856399","in trouble ? is that earnings gap still unfilled ?","","","",""
"twitter","$NFLX","0.396","709418142645137408","calls for nice gains","Still holding","Week made in a morning","",""
"stocktwits","$NEM","0.394","5704829","Long","look like a 5-10% run awaits","","",""
"stocktwits","$SPY","-0.204","5491633","bull move ended","waiting for next setup","","",""
"stocktwits","$QQQ","0.256","11195606","trying to lead higher here","","","",""
"stocktwits","$AAPL","0.243","7377506","bought back more shares here today","","","",""
"twitter","$AAPL","0.218","719522620887183360","getting very close to 200 MA of 110.87, has not closed above 200 MA since July 31, 2015. If / when it does, will be significant.","","","",""
"twitter","$TSLA","0.394","710857137585528836","addding tsla ss , added small vrx long $TSLA $VRX","","","",""
"stocktwits","$XOMA","-0.281","33532903","sold xoma","","","",""
"stocktwits","$BBRY","0.183","13482661","nice blurb for $BBRY","","","",""
"twitter","$FB","0.318","719619360973844480","What a nice reversal.","","","",""
"twitter","$TGT","0.344","719682732712968192","I'm watching(and buy targets)","","","",""
"stocktwits","$RUSS","0.286","35316844","Don't catch falling knives","","","",""
"twitter","$AAPL","0.354","719542623279702016","Barclays signs on to Apple Pay","","","",""
"stocktwits","$SLV","-0.352","13685639","looking weak","","","",""
"stocktwits","$SPY","-0.443","6139459","Markets Are Still Acting Weak","","","",""
"stocktwits","$NFLX","-0.485","33349961","short/put positions looking good here","Wait for market downturn to confirm","","",""
"twitter","$NFLX","0.422","719502781036498944","bullish $NFLX day trade setup","","","",""
"twitter","$VRX","0.332","710863854381563904","Unusual Call Activity","","","",""
"stocktwits","$HAL","0.422","12767826","Institutions seem to like this class of stocks","","","",""
"twitter","$AAPL","-0.537","719575574101016576","loading $SPY and $AAPL puts","think were toppy","","",""
"stocktwits","$TSLA","0.339","5818088","watch $TSLA > 34.5","","","",""
"twitter","$EMC","-0.421","719606796642594816","still in bear market","","","",""
"stocktwits","$QIHU","0.452","19639364","China winners","","","",""
"twitter","$BBBY","0.294","719507232489140224","stock options trade would have more than doubled your money","","","",""
"twitter","$FB","0.419","719860765189087232","master class on how to conquer mobile","astonishing","turned their fortunes around","",""
"stocktwits","$NQ","-0.551","20816832","got hit hard lower this AM","","","",""
"stocktwits","$LINE","0.438","14427501","biggies must be loading up here at lows","","","",""
"twitter","$NFLX","0.262","719842907377770496","has a hard to diminish lead","","","",""
"stocktwits","$BBRY","0.394","12708048","Inverse Head and Shoulders forming","","","",""
"twitter","$SMSI","-0.034","719644552047362048","weak outlook","","","",""
"twitter","$AMZN","-0.193","710532693939916800","Indices are rallying today","a lot of the 'highly covered companies' are underperforming","","",""
"stocktwits","$GPRO","0.619","34122674","$GPRO up","","","",""
"stocktwits","$TSLA","-0.312","32574837","Embarrassing China numbers","","","",""
"stocktwits","$SPY","0.162","5512185","Possible target","","","",""
"twitter","$CPB","0.660","708399906990329856","Rally Friday!","#new52weekhighs","p over 31%","",""
"stocktwits","$YMI","0.444","5364779","Long setup","Closed above the 20MA","","",""
"stocktwits","$FREE","0.622","36477978","CLOSED GREEN!!!!","BULLISH!","","",""
"stocktwits","$AAPL","0.000","9233685","","","","",""
"stocktwits","$SPY","-0.350","14320787","bumping its head on declining daily 8ma as overhead resistance","","","",""
"stocktwits","$ARR","-0.222","9440214","At least you didn't stop out","","","",""
"stocktwits","$DX","0.504","5499580","finds support","","","",""
"twitter","$FB","0.249","719500274134577152","Long-Term Potential Robust","","","",""
"stocktwits","$CAMT","-0.360","24417983","hopefully peeps shorting $CAMT for scalps","","","",""
"twitter","$TSLA","-0.385","719571509996580864","Now it is time to short $TSLA","","","",""
"stocktwits","$ATU","0.271","19203632","keep stock on your watch list","","","",""
"stocktwits","$VVUS","0.439","9562530","gap up tomorrow","","","",""
"twitter","$AAPL","0.532","709732847238705152","demand ahead","strongest growth","","",""
"twitter","$TSLA","0.452","719532032305573888","Our updated #core4 portfolio","","","",""
"twitter","$AMZN","0.529","708389021211299841","new HOD with conviction keeping $570 on watch for Resistance","","","",""
"stocktwits","$GS","0.525","6428776","long the market","","","",""
"stocktwits","$TTWO","0.243","14034627","acting tough on big volume against the tape","","","",""
"twitter","$MDLZ","0.492","719523482736988160","Best outperformers ranked","","","",""
"twitter","$GILD","-0.401","708620553461047296","Infection worries prompt regulatory reviews","","","",""
"twitter","$PCLN","-0.530","719605446152163328","Back to Back intraday reversals","look out below","Shorts moving in!","",""
"stocktwits","$AAPL","0.144","8995918","Weekly 625 calls now +42.31%","","","",""
"stocktwits","$GDX","0.000","25406637","has been a bull and $gld a bear","","","",""
"twitter","$STLD","0.342","719551394798268416","Watchlist Top Stocks","","","",""
"stocktwits","$RAD","0.401","26919965","I would consider this opportunity to add my position","company is on the right track they are still improving sales","","",""
"stocktwits","$QQQ","-0.443","6139459","Markets Are Still Acting Weak","","","",""
"stocktwits","$EMC","-0.535","8597000","bear flag","","","",""
"twitter","$ENDP","0.613","719885850658508800","took some $ENDP long this am","","","",""
"stocktwits","$SPY","0.829","6058084","Yes buy everything up","","","",""
"stocktwits","$USO","-0.353","31881766","Brent back below 49","","","",""
"twitter","$COST","0.354","719490323915939840","A Premier Retail Dividend Play","","","",""
"stocktwits","$YELP","0.284","25160682","beat","up AH","","",""
"twitter","$HPQ","-0.336","719872449886744576","shipments slid -9.6% to lowest quarterly total since 2007","dethrones","","",""
"stocktwits","$BBEP","0.537","5365505","long","","","",""
"stocktwits","$FGL","0.457","39047668","Bullish MA Crossovers","","","",""
"twitter","$MJN","0.216","709731726726193152","the most trending","","","",""
"twitter","$DG","0.421","709777793798656000","Unusual Call Activity","","","",""
"twitter","$C","0.529","719535506980265984","Nice day rally!","","","",""
"twitter","$LABU","0.513","719515579372077056","Added long at friday close","","","",""
"stocktwits","$CAMT","-0.516","25136062","Looks like might break down","I'm out","","",""
"stocktwits","$ANLY","0.509","6309910","Long over 3.95/great find - hope that wold be another $ANLY or $PZZI, still holding second 1/2","","","",""
"twitter","$SBUX","0.458","719566195964407808","Pushing Channel Development","","","",""
"stocktwits","$EZPW","0.437","6282743","bot $EZPW","","","",""
"stocktwits","$NVDA","0.374","5612749","Like this >","trade to 200 sma","","",""
"stocktwits","$KMB","-0.633","23765380","short","","","",""
"stocktwits","$TWTR","-0.601","17667026","CHUNK OF DEC $35 PUTS BOUGHT AT","","","",""
"stocktwits","$WTIC","-0.382","29978808","Not Time To Buy","","","",""
"twitter","$FB","-0.438","719907082791698432","round 2 short","","","",""
"stocktwits","$MA","0.296","14127963","580+ should be coming very quick, if the FED supports the markets 610","","","",""
"stocktwits","$BUNL","-0.331","5901252","debt crisis entered a dangerous new phase","","","",""
"stocktwits","$DM","0.431","30374823","some of the stocks that came up on screens for longs","","","",""
"twitter","$THC","0.454","708355634857529344","Sector Stocks Leading Today","","","",""
"stocktwits","$SPY","-0.541","14972619","short the market","","","",""
"twitter","$JBLU","0.405","719547552874512384","Airplane And Hospitality Industries Set Their Sights On #Cuba","","","",""
"stocktwits","$VHC","0.585","5335110","Over 16 with conviction"," I'm a buyer","good for ride to 20","",""
"twitter","$NFLX","0.215","719590082706042880","$NFLX at $44B","","","",""
"twitter","$GOOG","-0.216","719616495962066944","Seeing Competition","","","",""
"stocktwits","$BBRY","0.270","38833804","Some competitors worry that BlackBerry is the inevitable successor to Northern Telecom","much more competent leadership","","",""
"stocktwits","$TEL","0.498","29695868","Moved Upper Bollinger Band","","","",""
"twitter","$AA","0.332","710863854381563904","Unusual Call Activity","","","",""
"stocktwits","$BBRY","-0.530","38883695","4 shorts only","","","",""
"twitter","$DORM","0.414","719732320404709376","TOP 5 STOCK PICKS","","","",""
"stocktwits","$AAPL","-0.085","21860464","tired of seeing this go down","","","",""
"stocktwits","$NSM","0.733","9600757","ascending base breakout starting to gain traction","strong stock","","",""
"twitter","$AAL","-0.269","719835466674151424","have enjoyed shorting Anglo these last few weeks","","","",""
"twitter","$AGN","0.311","719560724004126720","Top holdings","","","",""
"stocktwits","$BBRY","-0.274","12799689","$AAPL cleary surpassed their BB","","","",""
"stocktwits","$SPX","-0.559","11781180","all going down","","","",""
"stocktwits","$LPG","-0.385","39047349","Stochastic Overbought","","","",""
"stocktwits","$RDC","0.285","5631705","Expands Share Repurchase Program","","","",""
"stocktwits","$GTAT","0.335","27650004","Play safe, be long","Just make sure you don't go long with all your money.","","",""
"twitter","$ADBE","0.128","710571389112229888","Covered","","","",""
"stocktwits","$EWZ","0.393","32730863","Bullish yeah","$EWZ","","",""
"stocktwits","$PLUG","0.143","22729575","Closed short position","","","",""
"twitter","$FB","-0.027","719522846431670272","Why $TWTR is doomed in 1 chart","","","",""
"twitter","$COST","0.497","719892780701597696","New RSI signal created on $COST - Buy","","","",""
"twitter","$MSFT","-0.152","719926154082258944","Global PC shipments fell 9.6% in Q1","$MSFT destroyed the PC market","","",""
"stocktwits","$PCLN","0.318","6394272","holding up well today","","","",""
"twitter","$MGM","0.421","709777793798656000","Unusual Call Activity","","","",""
"twitter","$FDX","0.293","709471541038342144","all higher","","","",""
"twitter","$SBUX","-0.170","719830167309258752","Deutsche Bank: cuts #Starbucks to Hold","premium valuation","","",""
"twitter","$FIVN","0.503","719866128546181120","stocks at support w/ high trade quality","","","",""
"stocktwits","$NKE","0.782","34298461","gapping up to all time highs","","","",""
"twitter","$WMC","-0.463","719520125582503936","downgrade","","","",""
"twitter","$NTAP","-0.574","711946103118241793","NetApp downgraded by Macquarie to underperform","","","",""
